Annual_Income,Total_EMI_per_month,Interest_Rate,Num_Credit_Inquiries,Payment_of_Min_Amount,Num_Credit_Card,Num_Bank_Accounts,Credit_History_Age,Num_of_Delayed_Payment,Num_of_Loan,Credit_Mix,Age,Output
99600.92,1194.7844367520515,9,3.0,0,3,6,327.0,8.0,1,1,41,2
106030.05,136.49324547235813,14,8.0,2,3,7,124.0,14.0,3,1,35,1
81744.76,434.96735740358287,15,12.0,2,6,10,96.0,21.0,7,0,18,0
18120.72,29.48997522001307,18,4.0,2,1289,6,164.0,10.0,3,1,20,1
19286.26,66.33474976688943,20,14.0,2,9,9,114.0,18.0,6,0,23,0
29704.64,68.74078854308499,13,5.0,2,7,4,170.0,19.0,5,1,21,1
64355.72,12418.0,15,5.0,1,5,5,184.0,14.0,2,1,17,1
122490.3,0.0,8,2.0,0,2,1,387.0,15.0,0,0,28,1
21963.845,38.073427010062815,12,2.0,0,5,2,274.0,8.0,4,0,53,0
39206.98,55.82968366722193,3,2.0,0,5,1,215.0,13.0,3,0,55,2
76019.68,390.58879943616057,29,6.0,2,6,9,82.0,16.0,8,0,21,0
33061.79,81.9881354220787,9,3.0,0,5,3,242.0,10.0,3,0,35,1
43849.26,65.00920084099373,1,4.0,0,1,3,340.0,10.0,2,0,35,1
27647.08,100.74020322259754,13,7.0,2,6,7,65.0,9.0,5,1,27,1
121274.24,167.4310717450765,10,6.0,0,7,2,327.0,13.0,2,0,26,1
15723.515,20.89883028417313,8,12.0,2,7,6,268.0,20.0,2,1,40,1
61533.36,251.5226784698373,9,6.0,2,3,8,177.0,16.0,5,1,17,1
15891.115,26.807630519750628,5,4.0,0,4,0,286.0,9.0,3,0,26,1
128754.04,342.0384503884663,6,4.0,1,4,3,345.0,9.0,4,0,33,1
12050.595,7.167790767928642,20,3.0,1,4,6,352.0,13.0,1,1,32,1
37002.58,139.50956191124808,16,7.0,2,7,1096,143.0,18.0,5,0,38,1
17732.92,77.92988443551587,23,9.0,2,8,7,221.13820819139417,24.0,8,0,34,0
42032.76,22.45599511979372,6,2.0,0,4,0,276.0,14.0,1,0,30,0
50739.27,240.05675062535465,5,5.0,2,6,4,221.13820819139417,15.0,6,1,19,1
18260.43,80.29310419626087,15,5.0,1,6,3,215.0,17.0,7,1,44,1
16348.87,59.174881201404034,24,9.0,2,9,10,80.0,17.0,7,0,20,0
120522.88,408.5619300547407,6,8.0,2,4,7,221.13820819139417,19.0,5,1,31,1
41588.74,61.942865755910894,7,6.0,0,3,5,321.0,9.0,2,0,40,1
10100.48,32.909216865382234,29,11.0,2,10,9,154.0,18.0,7,0,43,0
59237.96,319.1632016801445,18,12.0,2,7,10,153.0,22.0,8,0,25,0
16743.345,0.0,5,1.0,0,4,2,221.13820819139417,4.0,0,0,33,2
28276.72,50.01787354048111,10,4.0,0,4,5,358.0,9.0,4,0,55,1
17481.785,18.079812288763907,5,0.0,0,6,4,297.0,19.0,2,0,42,2
6878041.0,27.86428260222476,10,3.0,2,433,6,301.0,13.0,2,0,27,1
52949.06999999999,82.91462287682882,20,7.0,2,3,5,236.0,12.0,2,1,29,0
32033.29,71.30115649571735,5,1.0,0,3,5,238.0,13.0,4,1,33,1
69712.46,46.74589560708583,12,1.0,1,3,2,220.0,10.0,1,0,49,2
168682.56,305.7537414146373,3,4.0,0,3,4,348.0,11.0,4,0,27,2
8305.15,48.915991149039904,32,9.0,2,5,7,34.0,19.0,9,0,45,0
74800.0,244.5839725464461,5,0.0,0,1,3,334.0,7.0,4,0,18,2
22918.52,199.3936026002304,18,4.0,2,5,6,104.0,10.0,5,1,33,1
42171.98,102.7629131170904,10,4.0,1,7,2,259.0,14.0,3,0,37,1
31174.8,19.65186289096036,14,8.0,2,3,6,324.0,9.0,1,1,25,1
13982.725,37.983362942412526,12,4.0,2,6,7,362.0,14.0,4,1,47,1
79237.8,317.99197271202183,27,13.0,2,7,8,126.0,26.0,9,0,14,1
9555.94,44.98108629602402,27,11.0,2,6,7,45.0,14.0,7,0,30,0
83311.6,474.582366248067,27,8.0,2,7,10,161.0,19.0,8,0,31,0
25795.66,0.0,9,1.0,0,7,5,354.0,19.0,0,1,51,1
16436.66,77.91293446628192,34,10.0,2,9,10,84.0,21.0,6,0,33,0
90409.32,167.030738002733,9,3.0,1,5,7,269.0,13.0,4,0,49,1
62874.96,129.36640345231964,15,7.0,2,4,3,244.0,14.0,4,0,33,1
84114.6,156.53144197503752,16,3.0,1,7,8,202.0,20.0,3,1,49,1
114897.2,338.04184764274896,11,7.0,0,5,3,237.0,7.0,4,0,45,2
52046.28,88.50752114890963,13,251.0,2,4,8,77.0,18.0,3,1,30,1
77751.8,320.6438680590049,19,8.0,2,10,10,243.0,20.0,5,0,42,0
7110.93,16.98035650258466,22,6.0,2,10,7,83.0,16.0,4,0,36,0
21129.93,39.594950914382245,3,9.0,0,4,3,192.0,19.0,4,1,49,1
88533.27,183.6890271467306,11,3.0,0,4,4,370.0,21.0,3,1,31,1
11300.335,49.24349163728047,13,6.0,2,5,6,67.0,17.0,7,1,42,1
20143.27,30.359208143229136,27,17.0,2,8,304,127.0,14.0,2,1,19,1
48783.44,79.61675438989963,18,2.0,0,7,3,243.0,16.0,3,0,22,1
53579.04,149.6791914718775,17,8.0,2,10,9,15.0,17.0,6,0,46,1
15820.155,21.244551582415426,15,1.0,2,7,8,387.0,7.0,2,1,53,1
39928.5,76.00051094936124,8,3.0,0,5,3,339.0,13.0,4,0,30,2
18515.18,59.1964716298378,28,12.0,2,8,8,242.0,16.0,5,0,26,1
59050.48,69647.0,28,10.0,1,8,8,24.0,25.0,9,0,31,1
44768.54,20.83545848078241,1,1.0,1,6,3,221.13820819139417,10.0,1,1,26,1
59908.77,44788.0,29,9.0,2,3,3,221.13820819139417,2081.0,5,1,19,0
115827.92,141.92313260895574,17,3.0,0,6,7,206.0,8.0,2,1,46,1
74248.72,411.96260933813033,26,7.0,2,1217,6,123.0,16.0,6,1,25,0
24376.73,18.30518956975858,9,6.0,2,4,7,199.0,5.0,1,1,52,1
29112.32,28.037409483288823,6,4.0,0,1,2,249.0,4.0,2,0,48,2
14407.92,67.22055998304457,30,11.0,2,8,10,9.0,21.0,6,0,40,1
15964.31,54.02442559247661,22,10.0,2,5,10,49.0,20.0,5,0,24,1
30352.72,154.45734271610402,23,10.0,2,154,8,241.0,23.0,7,0,18,0
8675.57,38.19344290817073,18,11.0,2,6,6,129.0,15.0,8,0,17,2
86522.72,45.2646813787989,13,8.0,1,5,8,334.0,10.0,1,0,22,1
81126.78,127.9998194644768,1,5.0,0,3,0,355.0,7.0,2,0,28,2
36641.86,37.41635945922898,15,7.0,2,6,6,358.0,17.0,2,1,24,1
66571.4,144.59863484445015,34,7.0,2,9,7,237.0,24.0,3,0,33,0
46107.16,41.90237944085556,17,6.0,2,3,5,130.0,19.0,2,1,18,1
151722.56,164.95207935104418,2,1.0,0,5,5,264.0,0.0,2,0,23,2
31153.48,68.46128852529768,9,1.0,0,5,2,218.0,11.0,3,0,37,2
102447.38999999998,0.0,4,1460.0,0,4,5,392.0,11.0,0,0,33,1
32766.46,54.0556188463124,9,8.0,2,6,3,206.0,13.0,3,1,44,1
19853.35,141.5145576001361,6,2.0,0,4,7,232.0,17.0,2,0,26,1
8113.06,40.05699375175953,34,9.0,2,5,9,221.13820819139417,16.0,7,0,28,1
29097.82,82.27811007745731,11,1.0,2,6,6,206.0,14.0,4,1,50,1
30352.72,154.45734271610402,23,7.0,2,8,8,237.0,23.0,7,0,18,0
36573.8,171.7135810600868,31,8.0,2,9,9,158.0,20.0,8,0,36,1
142285.72,268.20870021401583,1,6.0,0,3,2,221.13820819139417,1.0,3,0,33,2
72207.52,287.62379206379217,21,12.0,2,7,6,153.0,25.0,5,0,23,0
61807.41,157.2174256750653,18,4.0,2,5,4,192.0,15.0,4,1,41,1
150746.88,0.0,11,3.0,0,5,0,362.0,4.0,0,0,20,1
82892.4,432.5257530425988,29,7.0,1,9,7,149.0,22.0,9,0,32,1
83503.12,72.09743298546104,1,3.0,0,4,1,329.0,11.0,2,0,49,2
20695.58,44.0976191907416,3,2.0,0,3,3,235.0,8.0,4,0,39,1
12025.84,18.2471612871006,17,6.0,2,5,7,336.0,14.0,2,1,33,1
34076.32,134.4033897753258,25,122.0,2,7,9,235.0,28.0,5,0,41,0
80892.92,250.5471427140596,23,6.0,2,4,565,86.0,14.0,6,0,28,0
68742.75,89.65740619574272,20,8.0,2,4,7,221.13820819139417,19.0,2,1,25,1
80011.64,154.5616136463086,18,8.0,2,6,7,221.13820819139417,14.0,4,1,45,1
100268.73,263.3897414097784,6,6.0,2,6,7,251.0,14.0,4,0,31,1
71131.53,222.43347262551384,16,5.0,2,7,6,228.0,20.0,6,1,42,1
15957.41,25.048554363131267,7,4.0,2,5,8,128.0,19.0,3,0,41,1
50513.12,72.74505701930059,10,4.0,0,6,7,391.0,13.0,2,0,19,2
12993.97,64.89671411889705,14,6.0,2,6,6,153.0,10.0,7,1,43,1
73378.32,187.07294989609144,26,8.0,1,8,7,127.0,23.0,5,0,19,0
11650.835,23.32579105961548,3,3.0,0,7,6,270.0,12.0,4,0,25,2
16863733.0,142.4531100539671,34,12.0,2,6,8,53.0,16.0,6,0,40,1
104744.88,195.0234165716909,8,0.0,0,4,1,221.13820819139417,7.0,4,0,24,0
33531.19,35.33500711126761,10,1.0,0,3,7,336.0,14.0,2,0,23,2
19323.4,99.10134677854631,18,7.0,2,5,10,101.0,15.0,8,0,38,0
45852.8,104.5891791544132,9,4.0,0,5,5,397.0,18.0,3,0,25,2
25306.37,244.4184002680309,18,5.0,2,3,4,173.0,14.0,0,1,35,2
30776.8,200.4641583229066,26,11.0,1,6,6,184.0,25.0,9,0,35,0
22239.0,70.17382304341935,11,2.0,0,5,4,342.0,1614.0,4,0,33,2
32812.59,54.63756583524476,5,6.0,0,6,6,336.0,11.0,3,0,37,1
48644.8,121.55867101136693,5,2.0,0,6,6,221.13820819139417,13.0,4,1,30,1
50050.83,190.4450601517657,20,8.0,2,10,9,49.0,16.0,5,0,16,0
38580.05,472.6526136867608,4,4.0,0,5,0,342.0,5.0,1,0,39,1
68103.81,0.0,2,1.0,0,7,8,396.0,8.0,0,0,36,2
58871.28,167.0765791621539,9,4.0,1,4,5,398.0,10.0,4,0,42,2
28838.96,21.19455447546845,10,5.0,1,1,3,221.13820819139417,14.0,1,0,39,1
16934.76,52.81353784442496,7,7.0,2,3,4,87.0,15.0,5,1,26,1
19547.065,46.36255908582618,8,5.0,0,2,1091,386.0,12.0,3,0,45,2
8305.15,48.915991149039904,32,8.0,2,5,7,30.0,19.0,9,0,45,0
78839.48,39.35327287784872,6,5.0,2,4,7,390.0,16.0,1,1,22,1
15302.74,62.48154696519297,24,6.0,2,10,10,155.0,19.0,5,0,43,0
7106.15,9.575854756288654,29,7.0,2,5,6,221.13820819139417,21.0,3,0,18,0
18859.38,40.29201026540228,5,6.0,2,4,6,163.0,14.0,4,1,30,1
81165.56,151.74649492782913,3,4.0,1,5,4,298.0,4.0,3,0,19,2
83003.64,353.40809406795523,26,10.0,2,8,7,153.0,24.0,6,0,29,1
16046.49,79.73982827674185,22,10.0,2,7,5,221.13820819139417,15.0,7,1,39,0
31980.14,142.7969652084404,16,5.0,2,3,7,91.0,18.0,6,1,44,0
40100.45,0.0,7,2.0,1,4,0,390.0,12.0,0,0,21,2
19582.95,241.001900386429,31,10.0,2,4,4,149.0,19.0,6,1,21,1
19042.55,0.0,15,1.0,2,7,3,271.0,16.0,0,1,48,1
14130.645,32.556703906399214,8,2.0,0,6,3,377.0,10.0,3,0,32,1
61923.66,53.17181691776678,29,6.0,2,9,9,84.0,20.0,2,1,19,0
8373.24,29.54021748132355,27,9.0,2,8,6,16.0,14.0,6,0,20,0
28826.14,45.14385895708847,28,6.0,2,7,7,97.0,17.0,2,0,31,1
32943.66,162.93396386877555,14,7.0,2,6,5,126.0,11.0,6,1,30,1
81094.96,0.0,18,2.0,0,3,8,323.0,11.0,0,1,18,1
16603.995,11.010734470754691,9,0.0,0,3,2,196.0,11.0,1,0,22,1
15469.21,38.67679590188479,31,12.0,2,9,10,118.0,19.0,4,0,43,0
38436.68,28.48255057324285,5,2.0,0,5,2,337.0,6.0,1,0,45,2
15363.22,61.51659390507537,22,8.0,2,5,7,105.0,19.0,6,0,20,0
30399.06,54.5282542011405,18,8.0,2,6,5,220.0,10.0,4,1,32,1
75723.81,860.3708924106207,1,6.0,0,7,5,401.0,20.0,0,0,42,2
58367.36,55.58150319615926,5,5.0,1,4,5,207.0,9.0,2,1,21,1
29764.37,33.1469955912622,12,0.0,2,7,7,338.0,11.0,2,1,56,1
30643.51,0.0,7,5.0,0,5,0,380.0,8.0,0,0,30,1
62679.87,100.10260089398822,17,6.0,2,8,8,221.13820819139417,22.0,2,0,15,0
57582.42,59671.0,25,8.0,2,10,6,143.0,14.0,9,0,27,1
30355.35,178.77029339801118,12,1.0,0,3,6,198.0,14.0,4,1,18,1
38076.6,120.29913417260364,24,11.0,2,8,10,68.0,15.0,4,0,26,1
34571.53,41.83633130627212,5,4.0,0,5,5,319.0,6.0,2,0,42,2
19197.3,71.39274508386833,22,8.0,2,8,8,221.13820819139417,19.0,7,0,34,0
35746.07,59.88078006830594,10,8.0,0,5,2,215.0,12.0,4,0,31,1
19660.58,0.0,12,3.0,0,2,3,336.0,11.0,0,0,40,2
39594.66,87.05875180520201,8,1.0,0,5,4,221.13820819139417,4.0,4,0,44,2
82383.04,162.10895563236758,8,4.0,0,5,3,395.0,15.0,4,0,36,1
51324.82,28.735661767051905,11,12.0,2,3,7,218.0,12.0,1,0,28,1
20235.8,28.317032541678863,7,6.0,0,7,8,223.0,17.0,2,1,25,1
8459.02,18.89415691962732,14,10.0,2,7,7,154.0,20.0,3,1,18,2
59110.84,106.66245421440576,10,4.0,2,6,4,150.0,14.0,3,1,27,1
8637.095,27.447179408988763,14,7.0,2,7,5,90.0,11.0,4,1,20,1
33643.54,70.53606363104981,20,8.0,2,6,4,191.0,17.0,860,1,32,1
98518.68,153.44355139030228,18,2.0,2,5,8,353.0,18.0,2,0,49,1
10307.97,11.022190417928623,13,10.0,2,3,8,198.0,12.0,2,0,25,1
36913.88,214.3092664861909,16,7.0,2,5,6,43.0,18.0,7,0,27,0
64416.46,130.38213590635928,14,1.0,2,3,5,346.0,11.0,4,1,28,1
71111.1,80.10439038473234,14,4.0,2,6,8,122.0,14.0,2,1,37,1
18496.49,54.90556857054426,27,12.0,2,8,7,231.0,23.0,4,0,36,0
24418.33,27.86428260222476,10,1659.0,2,6,6,300.0,13.0,2,1,27,1
9283.17,59.797864817441216,28,12.0,2,8,9,221.0,22.0,8,0,26,0
18341.47,0.0,6,1.0,0,3,2,214.0,6.0,0,0,29,1
17393.16,101.08795702090012,23,6.0,2,8,7,183.0,359.0,7,0,42,0
42870.09,106.62300671991356,12,8.0,2,4,5,217.0,23.0,4,1,22,1
20488.9,90.29101776820028,26,14.0,2,7,10,9.0,25.0,9,0,24,0
101275.8,0.0,6,6.0,2,7,4,385.0,10.0,0,1,34,1
63861.36,150.25910536965495,12,1.0,0,6,4,275.0,2.0,4,0,21,1
8538.405,27.17578271122804,30,9.0,2,5,7,21.0,23.0,6,0,20,1
8609.79,34.83110684041458,28,7.0,2,1262,8,76.0,23.0,6,0,41,1
14431.49,0.0,6,3.0,0,6,0,348.0,7.0,0,0,44,1
18256.6,72.62659396613098,21,7.0,1,6,7,20.0,19.0,5,0,17,1
28485.76,128.89579910766787,15,6.0,2,7,6,167.0,18.0,6,0,45,2
19480.04,96.29274734549978,23,9.0,2,4,3,77.0,13.0,6,0,38,0
59662.98,85.60171470621269,16,6.0,2,4,7,68.0,8.0,3,1,16,1
20813.98,83.33123676627393,12,5.0,2,7,3,216.0,12.0,7,0,45,1
134038.64,187.9711116102856,18,6.0,2,3,6,213.0,18.0,2,1,32,1
34628.06,21.688933872660087,4,4.0,0,3,1,286.0,3.0,1,0,22,1
113105.1,50.32667862971585,12,5.0,0,3,4,220.0,3.0,1,0,26,2
53085.12,132.6955382955476,15,12.0,2,8,8,166.0,16.0,3,1,21,0
30910.68,55.00871063332296,17,1941.0,2,3,6,135.0,19.0,3,1,36,1
15479.34,47.71745623865422,33,9.0,2,9,6,19.0,25.0,6,0,19,1
7171.26,6606.0,22,11.0,2,9,6,200.0,22.0,2,0,14,0
30320.06,110.2912819763388,20,16.0,2,6,9,221.0,22.0,5,0,27,0
44915.91,537.0395603274477,20,7.0,2,6,3,178.0,12.0,3,0,45,0
18293.52,46.50896766089725,16,12.0,2,5,6,111.0,17.0,6,0,43,1
64122.84,147.0690962890094,29,6.0,2,6,7,108.0,21.0,4,0,19,0
21229.73,28.88093048125891,10,3.0,0,4,5,309.0,14.0,2,0,46,1
31369.58,171.7484180470571,27,6.0,2,9,8,146.0,22.0,8,0,39,1
87939.04,74.00774815976222,11,4.0,0,4,2,308.0,7.0,2,0,23,2
47195.19,178.7482327590911,15,9.0,1,5,9,42.0,28.0,7,0,37,1
14020.86,0.0,9,2.0,0,3,2,209.0,14.0,0,0,18,1
71518.92,331.26548993605235,34,10.0,2,5,7,221.13820819139417,8.0,7,0,39,0
36822.29,95.8007129241996,6,4.0,0,7,8,297.0,19.0,4,1,22,1
83627.12,189.56363240412887,9,8.0,2,7,6,102.0,21.0,3,1,45,1
51682.08,224.33559918633668,18,6.0,2,5,7,218.0,18.0,7,0,45,1
10426.84,49.88294147352556,19,6.0,1,10,6,141.0,15.0,6,0,43,1
81287.66,150.82102567816167,11,1.0,0,3,0,317.0,4.0,4,0,25,2
75490.22,42.19111810979919,2,4.0,0,2,1,395.0,4.0,1,0,49,2
49023.60000000001,211.70975519526988,28,6.0,2,6,5,176.0,15.0,6,1,17,1
17116.05,22.96869165923225,11,3.0,0,5,1,302.0,5.0,3,0,37,2
40069.45,63.06480596036172,3,4.0,0,5,3,221.13820819139417,10.0,2,0,31,2
32710.62,312.63499173009063,14,4.0,2,3,7,264.0,13.0,1,1,49,2
